Roll Number,Name,Department Code
708087,Aruna Roy,CST
708088,Kamal Mia,CST
708089,Md. Rahim Roy,CST
708090,Sajid Mia,CST
708091,Sajid Sharma,CST
708092,Sharmin Sultana,CST
708093,Ibrahim Sultana,CST
708094,Imran Sikder,CST
708095,Tanvir Molla,CST
708096,Puja Karim,CST
708097,Mamun Akter,CST
708098,Oishi Chowdhury,CST
708099,Tasnia Hossain,CST
708100,Mamun Das,CST
708101,Nazmul Ghosh,CST
708102,Aruna Das,CST
708103,Fatima Sultana,CST
708104,Mousumi Akter,CST
708105,Tuhin Ahmed,CST
708106,Mita Karim,CST
708107,Sadia Karim,CST
708108,Dilara Uddin,CST
708109,Mamun Begum,CST
708110,Ashraf Sikder,CST
708111,Kamal Ahmed,CST
708112,Nazmul Rana,CST
708113,Mita Hossain,CST
708114,Ashraf Akter,CST
708115,Mamun Sikder,CST
708116,Nabil Akter,CST
708117,Sajid Das,CST
708118,Sharmin Chowdhury,CST
708119,Anik Roy,CST
708120,Nusrat Begum,CST
708121,Mousumi Mia,CST
708122,Oishi Bhuiyan,CST
708123,Mita Khan,CST
708124,Dilara Khan,CST
708125,Oishi Karim,CST
708126,Rafi Das,CST
708127,Sarwar Bhuiyan,CST
708128,Neha Mia,CST
708129,Imran Uddin,CST
708130,Kamal Islam,CST
708131,Rumana Ahmed,CST
708132,Tuhin Bhuiyan,CST
708133,Fatima Khan,CST
708134,Sharmin Sikder,CST
708135,Oishi Sikder,CST
708136,Oishi Uddin,CST
708137,Puja Ahmed,CST
708138,Sharmin Ghosh,CST
708139,Neha Rana,CST
708140,Fatima Sharma,CST
708141,Imran Ghosh,CST
708142,Oishi Mia,CST
708143,Shathi Mia,CST
708144,Ibrahim Hossain,CST
708145,Sajid Roy,CST
708146,Shathi Sikder,CST
708147,Neha Islam,CST
708148,Nusrat Rana,CST
708149,Sarwar Islam,CST
