Roll Number,Name,Department Code
708087,Shathi Ahmed,CST
708088,Sharmin Mia,ET
708089,Mamun Sikder,EMT
708090,Sharmin Molla,PT
708091,Laboni Khan,CST
708092,Oishi Karim,ET
708093,Mousumi Begum,EMT
708094,Ashraf Begum,PT
708095,Karim Sikder,CST
708096,Nabil Hossain,ET
708097,Karim Uddin,EMT
708098,Aruna Hossain,PT
708099,Aruna Akter,CST
708100,Oishi Rahman,ET
708101,Mamun Molla,EMT
708102,Sajid Sikder,PT
708103,Sharmin Rahman,CST
708104,Oishi Molla,ET
708105,Rumana Hossain,EMT
708106,Aruna Bhuiyan,PT
708107,Anik Molla,CST
708108,Mousumi Islam,ET
708109,Tuhin Mia,EMT
708110,Sajid Khan,PT
708111,Md. Rahim Rahman,CST
708112,Fatima Akter,ET
708113,Shathi Bhuiyan,EMT
708114,Mousumi Rahman,PT
708115,Ibrahim Sultana,CST
708116,Tuhin Sultana,ET
708117,Aruna Sultana,EMT
708118,Nabil Bhuiyan,PT
708119,Mamun Akter,CST
708120,Mita Molla,ET
708121,Ibrahim Uddin,EMT
708122,Ibrahim Hossain,PT
708123,Laboni Islam,CST
708124,Aruna Begum,ET
708125,Sadia Molla,EMT
708126,Aruna Uddin,PT
708127,Mita Bhuiyan,CST
708128,Rafi Molla,ET
708129,Shathi Uddin,EMT
708130,Rafi Rana,PT
708131,Tuhin Uddin,CST
708132,Md. Rahim Begum,ET
708133,Puja Hossain,EMT
708134,Sharmin Akter,PT
708135,Nabil Sultana,CST
708136,Tanvir Karim,ET
708137,Shathi Begum,EMT
708138,Sajid Karim,PT
708139,Rumana Khan,CST
708140,Nusrat Begum,ET
708141,Nazmul Chowdhury,EMT
708142,Mousumi Sikder,PT
708143,Oishi Hossain,CST
708144,Sajid Hossain,ET
708145,Mita Khan,EMT
708146,Mita Begum,PT
708147,Nazmul Akter,CST
708148,Shathi Chowdhury,ET
708149,Rumana Molla,EMT
